26.03.2021 13:45:34

TIME STEP: 64 = 1s
VOLTAGE RANGE:
CH1= 15V
CH2= 15V
CH3= 15V
CH4= 30V
CH5= 30V
CH6= 30V
CH7= 30V
CH8= 30V

   N     CH1     CH2     CH3     CH4     CH5     CH6     CH7     CH8

 223     0,6     4,6    10,4    14,5    14,4    10,4     4,6     0,5
 224     0,6     4,8    10,5    14,5    14,4    10,1     4,4     0,5
 225     0,7     4,9    10,7    14,6    14,2    10,0     4,2     0,4
 226     0,8     5,1    10,8    14,6    14,2     9,9     4,1     0,4
 227     0,8     5,2    10,9    14,7    14,1     9,8     4,0     0,4
 228     0,9     5,4    11,1    14,7    14,1     9,6     3,9     0,2
 229     0,9     5,5    11,2    14,7    14,0     9,4     3,8     0,2
 230     1,1     5,6    11,4    14,8    13,9     9,3     3,6     0,2
 231     1,1     5,8    11,5    14,8    13,9     9,2     3,5     0,1
 232     1,2     5,9    11,6    14,8    13,8     9,1     3,4     0,1
 233     1,3     6,1    11,7    14,8    13,6     8,9     3,3     0,1
 234     1,4     6,2    11,8    14,9    13,6     8,7     3,2     0,1
 235     1,5     6,4    11,9    14,9    13,5     8,6     3,1     0,0
 236     1,5     6,5    12,1    14,9    13,4     8,5     2,9     0,0
 237     1,6     6,6    12,2    14,9    13,3     8,4     2,8     0,0
 238     1,7     6,8    12,3    14,9    13,3     8,1     2,7     0,0
 239     1,8     6,9    12,4    14,9    13,2     8,0     2,6     0,0
 240     1,9     7,1    12,5    14,9    13,1     7,9     2,5     0,0
 241     2,0     7,2    12,6    14,9    12,9     7,8     2,4     0,0
 242     2,1     7,4    12,8    14,9    12,8     7,5     2,2     0,0
 243     2,2     7,5    12,8    15,1    12,7     7,4     2,1     0,0
 244     2,4     7,7    12,9    14,9    12,7     7,3     2,0     0,0
 245     2,4     7,8    13,1    14,9    12,6     7,2     1,9     0,0
 246     2,5     8,0    13,1    14,9    12,5     6,9     1,8     0,0
 247     2,6     8,1    13,2    14,9    12,4     6,8     1,8     0,0
 248     2,8     8,3    13,4    14,9    12,2     6,7     1,6     0,0
 249     2,9     8,4    13,4    14,9    12,1     6,6     1,5     0,0
 250     3,0     8,6    13,5    14,9    12,0     6,4     1,4     0,0
 251     3,1     8,7    13,6    14,9    11,9     6,2     1,4     0,1
 252     3,2     8,9    13,7    14,8    11,8     6,1     1,3     0,1
 253     3,4     9,0    13,8    14,8    11,6     6,0     1,2     0,1
 254     3,5     9,2    13,8    14,8    11,5     5,8     1,1     0,1
 255     3,6     9,3    13,9    14,8    11,4     5,6     1,1     0,2
 256     3,8     9,5    14,0    14,7    11,2     5,5     0,9     0,2
 257     3,9     9,6    14,1    14,7    11,1     5,4     0,9     0,2
 258     4,0     9,7    14,1    14,7    10,9     5,2     0,8     0,4
